Artiest	Titel	Jaar	HP	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Queen	Bohemian Rhapsody	1975	1	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0
Eagles	Hotel California	1977	1	2.0	4.0	3.0	3.0	2.0	2.0	3.0	3.0	3.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	3.0	2.0	2.0	2.0
Billy Joel	Piano man	1974	3	121.0	83.0	57.0	58.0	60.0	66.0	49.0	54.0	34.0	50.0	45.0	45.0	29.0	36.0	18.0	7.0	6.0	4.0	4.0	3.0
Led Zeppelin	Stairway to heaven	1971	3	4.0	3.0	4.0	4.0	4.0	4.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	3.0	3.0	3.0	5.0	3.0	3.0	4.0
Pink Floyd	Wish you were here	1975	5		45.0	25.0	29.0	20.0	21.0	16.0	8.0	14.0	12.0	9.0	6.0	7.0	6.0	6.0	6.0	9.0	9.0	7.0	5.0
Deep Purple	Child in time	1972	2	3.0	2.0	2.0	2.0	3.0	3.0	4.0	4.0	4.0	4.0	5.0	4.0	3.0	4.0	4.0	4.0	8.0	5.0	5.0	6.0
Pearl Jam	Black	1993	6											803.0	452.0	40.0	24.0	16.0	12.0	12.0	10.0	6.0	7.0
Toto	Africa	1982	8	34.0	49.0	33.0	39.0	52.0	63.0	70.0	75.0	110.0	66.0	100.0	97.0	87.0	62.0	28.0	51.0	42.0	30.0	25.0	8.0
Coldplay	Fix you	2005	8											1494.0	235.0	69.0	40.0	20.0	15.0	10.0	11.0	8.0	9.0
Boudewijn de Groot	Avond	1997	1	428.0	121.0	41.0	25.0	8.0	5.0	1.0	2.0	2.0	3.0	3.0	3.0	4.0	5.0	5.0	5.0	7.0	6.0	9.0	10.0
Guns N' Roses	November rain	1992	6		10.0	18.0	17.0	6.0	7.0	10.0	13.0	20.0	9.0	16.0	17.0	17.0	12.0	13.0	10.0	13.0	17.0	10.0	11.0
Queen	Love of my life	1975	12		82.0	108.0	97.0	111.0	115.0	78.0	69.0	82.0	82.0	73.0	78.0	75.0	76.0	82.0	69.0	74.0	64.0	72.0	12.0
Metallica	Nothing else matters	1992	9			1014.0	99.0	16.0	19.0	20.0	10.0	15.0	14.0	19.0	11.0	14.0	14.0	9.0	11.0	16.0	15.0	15.0	13.0
Pink Floyd	Comfortably numb	1979	8		74.0		1356.0	358.0	53.0	25.0	19.0	17.0	34.0	15.0	13.0	12.0	10.0	8.0	8.0	11.0	16.0	12.0	14.0
